,repository_name,commit_hash,commit_author,bugs,commit_month,commit_day,commit_hour,commit_message_len,word_fives
269,6,612495751,1,3,4,23,21.0,36,2
270,6,3593869246,1,2,4,22,19.1,21,7
271,6,505464662,1,2,4,22,10.1,20,1
272,6,885122613,1,1,4,22,10.1,14,42
273,6,2268324764,3,2,4,20,8.7,16,37
274,6,3449710600,5,2,4,17,15.6,19,6
275,6,678908068,1,3,4,15,14.7,35,42
276,6,2471889271,1,3,4,15,14.6,20,0
277,6,260776200,5,3,4,15,13.9,41,2
278,6,2689435704,5,2,4,13,16.4,19,0
279,6,3710267568,5,4,4,13,11.4,41,8
280,6,105510332,5,3,4,10,16.2,42,9
281,6,2791978810,5,2,4,10,13.1,21,0
282,6,1599340882,10,0,4,9,11.8,9,36
283,6,1748830618,10,1,4,9,10.7,16,6
284,6,3907831192,5,4,4,8,15.8,37,20
285,6,3995069626,6,3,4,8,12.4,38,0
286,6,907360472,6,5,4,7,16.2,67,2
287,6,410556706,5,2,4,7,8.6,21,0
288,6,3132074799,5,2,4,6,12.8,19,6
289,6,258774390,5,3,4,3,12.1,29,1
290,6,1018649121,5,4,4,3,12.1,54,1
291,6,3902494087,5,2,4,3,11.3,15,1
292,6,507691257,5,4,4,2,14.5,38,12
293,6,1328478500,5,4,4,2,13.9,38,1
294,6,4141538862,5,4,4,2,13.8,28,12
295,6,364219708,5,2,4,2,13.5,14,1
296,6,382339003,5,3,4,1,18.1,39,2
297,6,2984606939,5,2,4,1,17.8,24,0
298,6,954538309,6,5,4,1,15.1,63,3
299,6,648019321,6,4,4,1,14.7,54,3
300,6,969227630,5,5,4,1,14.4,48,2
301,6,1624598209,5,2,4,1,13.8,23,2
302,6,377527716,5,4,4,1,13.3,33,45
303,6,2499833761,5,3,4,1,12.8,25,22
304,6,4182174021,5,1,4,1,12.4,15,1
305,6,3954026391,5,3,3,28,13.2,32,2
306,6,1471632078,5,3,3,28,12.9,36,2
307,6,3562881741,5,3,3,28,12.7,31,2
308,6,3919585973,5,3,3,28,12.7,26,1
309,6,2154198222,5,2,3,28,12.0,21,1
310,6,2463602316,6,1,3,23,13.7,17,33
311,6,2194969975,6,1,3,23,13.6,17,33
312,6,3180506493,7,1,3,23,13.1,19,0
313,6,943030392,7,1,3,23,13.1,16,0
314,6,1528744909,7,1,3,23,12.9,16,0
315,6,2750789459,7,2,3,23,12.5,28,0
316,6,3893713218,7,3,3,23,11.4,42,21
317,6,3880300369,7,1,3,23,11.3,19,1
318,6,2757181587,7,1,3,23,11.1,6,0
